count,hate_speech_count,offensive_language_count,neither_count,class,label_name,dataset_index,P_non_tox_source,P_tox_source,toxic_bert_positive
3,0,3,0,1,offensive language,7430,0.5984082,0.40159175,False
3,0,3,0,1,offensive language,19496,0.031078994,0.968921,True
3,0,3,0,1,offensive language,19218,0.002384901,0.9976151,True
3,0,3,0,1,offensive language,22117,0.019334793,0.9806652,True
3,0,3,0,1,offensive language,10151,0.01249814,0.98750186,True
3,0,2,1,1,offensive language,18774,0.5422994,0.45770058,False
6,0,6,0,1,offensive language,18247,0.02418673,0.97581327,True
3,0,3,0,1,offensive language,16659,0.06195396,0.93804604,True
3,1,2,0,1,offensive language,13416,0.0011091828,0.9988908,True
3,0,3,0,1,offensive language,21687,0.013242841,0.98675716,True
3,0,3,0,1,offensive language,15771,0.013067782,0.9869322,True
3,0,3,0,1,offensive language,3128,0.001196742,0.99880326,True
3,1,2,0,1,offensive language,4185,0.0011284947,0.9988715,True
3,0,3,0,1,offensive language,11412,0.0097721815,0.9902278,True
3,0,3,0,1,offensive language,11480,0.013752818,0.9862472,True
3,0,3,0,1,offensive language,12729,0.044854403,0.9551456,True
3,0,3,0,1,offensive language,11914,0.0026637912,0.9973362,True
3,1,2,0,1,offensive language,14524,0.0059314966,0.9940685,True
3,0,3,0,1,offensive language,4140,0.04444152,0.9555585,True
3,0,3,0,1,offensive language,12873,0.04050386,0.95949614,True
3,0,3,0,1,offensive language,7380,0.025369942,0.97463006,True
3,1,2,0,1,offensive language,10801,0.011109114,0.9888909,True
3,2,1,0,0,hate speech,24436,0.04061985,0.95938015,True
3,2,1,0,0,hate speech,3242,0.042515576,0.9574844,True
6,1,5,0,1,offensive language,2742,0.0056581497,0.99434185,True
3,1,2,0,1,offensive language,5918,0.65438086,0.34561914,False
3,0,3,0,1,offensive language,22039,0.0026661158,0.9973339,True
3,0,3,0,1,offensive language,7373,0.0027009845,0.997299,True
3,0,3,0,1,offensive language,2353,0.21984535,0.78015465,True
3,0,3,0,1,offensive language,21625,0.0113530755,0.9886469,True
3,0,3,0,1,offensive language,10374,0.0027510524,0.99724895,True
3,0,3,0,1,offensive language,4574,0.06974316,0.93025684,True
3,1,2,0,1,offensive language,6700,0.9470975,0.052902505,False
3,0,2,1,1,offensive language,3329,0.0025302172,0.9974698,True
3,1,2,0,1,offensive language,20972,0.0025150776,0.9974849,True
6,0,6,0,1,offensive language,18218,0.02077961,0.9792204,True
3,0,2,1,1,offensive language,21901,0.96275616,0.037243865,False
3,0,3,0,1,offensive language,24279,0.046072006,0.953928,True
3,1,2,0,1,offensive language,10409,0.0069499016,0.9930501,True
3,0,2,1,1,offensive language,15813,0.52838534,0.47161466,False
6,1,5,0,1,offensive language,16727,0.015046716,0.9849533,True
3,0,3,0,1,offensive language,3207,0.0012087226,0.9987913,True
3,0,3,0,1,offensive language,8252,0.0365566,0.9634434,True
3,0,2,1,1,offensive language,18636,0.43109518,0.5689048,True
3,0,3,0,1,offensive language,4099,0.002969265,0.99703074,True
3,0,3,0,1,offensive language,13379,0.025931954,0.97406805,True
3,2,1,0,0,hate speech,15516,0.0059577823,0.9940422,True
3,2,0,1,0,hate speech,4131,0.9801824,0.019817602,False
3,0,3,0,1,offensive language,13847,0.0066221356,0.99337786,True
3,1,2,0,1,offensive language,15119,0.005362332,0.99463767,True
6,0,6,0,1,offensive language,12336,0.021543503,0.9784565,True
3,0,3,0,1,offensive language,16911,0.11493063,0.8850694,True
3,3,0,0,0,hate speech,14984,0.29492188,0.7050781,True
9,1,8,0,1,offensive language,7479,0.05233407,0.9476659,True
3,0,3,0,1,offensive language,6327,0.9793154,0.020684585,False
3,0,3,0,1,offensive language,1216,0.6307019,0.36929813,False
3,0,3,0,1,offensive language,19154,0.5906266,0.40937343,False
3,1,2,0,1,offensive language,17487,0.009963512,0.9900365,True
3,0,2,1,1,offensive language,3118,0.24475169,0.7552483,True
3,0,3,0,1,offensive language,7651,0.06337023,0.9366298,True
3,0,3,0,1,offensive language,15259,0.17037588,0.8296241,True
3,0,3,0,1,offensive language,15022,0.004360199,0.9956398,True
3,1,2,0,1,offensive language,7488,0.0069119334,0.99308807,True
3,1,2,0,1,offensive language,16236,0.050495327,0.9495047,True
3,0,3,0,1,offensive language,22512,0.8302703,0.16972974,False
3,0,3,0,1,offensive language,3436,0.008059323,0.9919407,True
3,0,3,0,1,offensive language,24437,0.066360176,0.9336398,True
3,1,2,0,1,offensive language,23774,0.82682717,0.17317282,False
3,0,3,0,1,offensive language,6222,0.72790617,0.27209383,False
3,0,3,0,1,offensive language,11243,0.005622208,0.9943778,True
3,1,2,0,1,offensive language,5357,0.053960085,0.9460399,True
3,0,3,0,1,offensive language,11149,0.009521127,0.9904789,True
3,0,3,0,1,offensive language,11384,0.03160113,0.96839887,True
