count,hate_speech_count,offensive_language_count,neither_count,class,label_name,dataset_index,P_non_tox_source,P_tox_source,toxic_bert_positive
6,1,5,0,1,offensive language,3288,0.06752622,0.9324738,True
3,0,3,0,1,offensive language,7001,0.0027421117,0.9972579,True
4,0,4,0,1,offensive language,9542,0.0076346993,0.9923653,True
4,1,3,0,1,offensive language,14605,0.02775079,0.9722492,True
3,0,3,0,1,offensive language,17563,0.0069571733,0.9930428,True
3,0,3,0,1,offensive language,11307,0.01443392,0.9855661,True
3,1,2,0,1,offensive language,6483,0.0039055943,0.9960944,True
9,0,9,0,1,offensive language,14964,0.10806829,0.8919317,True
3,0,3,0,1,offensive language,6999,0.005860448,0.99413955,True
3,1,2,0,1,offensive language,13310,0.020468712,0.9795313,True
3,0,3,0,1,offensive language,20825,0.0021795034,0.9978205,True
3,0,3,0,1,offensive language,16659,0.06195396,0.93804604,True
3,0,3,0,1,offensive language,5652,0.10678911,0.8932109,True
3,0,3,0,1,offensive language,9427,0.010976315,0.9890237,True
3,2,1,0,0,hate speech,3125,0.053913772,0.9460862,True
3,0,3,0,1,offensive language,13420,0.2879098,0.7120902,True
9,0,9,0,1,offensive language,17020,0.022992373,0.9770076,True
3,1,2,0,1,offensive language,7557,0.16241616,0.83758384,True
3,0,3,0,1,offensive language,13847,0.0066221356,0.99337786,True
3,1,2,0,1,offensive language,10432,0.016266286,0.9837337,True
3,0,3,0,1,offensive language,2932,0.018455744,0.98154426,True
9,2,7,0,1,offensive language,9728,0.06123364,0.93876636,True
3,1,2,0,1,offensive language,7600,0.014281094,0.9857189,True
3,0,3,0,1,offensive language,19496,0.031078994,0.968921,True
3,1,2,0,1,offensive language,14524,0.0059314966,0.9940685,True
3,0,3,0,1,offensive language,24492,0.005944371,0.9940556,True
3,0,3,0,1,offensive language,15945,0.008820474,0.9911795,True
3,0,3,0,1,offensive language,11133,0.025843143,0.97415686,True
3,0,3,0,1,offensive language,19940,0.0539093,0.9460907,True
3,0,2,1,1,offensive language,4627,0.07581717,0.92418283,True
9,0,9,0,1,offensive language,24204,0.0019029975,0.998097,True
3,0,3,0,1,offensive language,3414,0.02037996,0.97962004,True
3,1,2,0,1,offensive language,5985,0.34243065,0.65756935,True
3,0,3,0,1,offensive language,10087,0.49538547,0.50461453,True
3,2,1,0,0,hate speech,5832,0.15586597,0.84413403,True
3,0,3,0,1,offensive language,10949,0.034107327,0.9658927,True
3,0,3,0,1,offensive language,22123,0.011161029,0.988839,True
3,1,2,0,1,offensive language,16236,0.050495327,0.9495047,True
3,0,3,0,1,offensive language,7834,0.0015048981,0.9984951,True
3,0,3,0,1,offensive language,7171,0.029956996,0.970043,True
3,2,1,0,0,hate speech,646,0.0021015406,0.99789846,True
3,1,2,0,1,offensive language,9051,0.011211336,0.98878866,True
3,0,2,1,1,offensive language,12197,0.010297239,0.98970276,True
3,0,3,0,1,offensive language,18886,0.009835064,0.99016494,True
3,0,3,0,1,offensive language,22912,0.0059506893,0.9940493,True
3,2,1,0,0,hate speech,7264,0.025617182,0.9743828,True
3,0,3,0,1,offensive language,2579,0.0021062493,0.99789375,True
3,2,1,0,0,hate speech,14709,0.35473526,0.64526474,True
3,1,2,0,1,offensive language,24193,0.05553317,0.9444668,True
3,0,3,0,1,offensive language,23053,0.09112209,0.9088779,True
3,0,3,0,1,offensive language,23111,0.0060272813,0.9939727,True
3,0,3,0,1,offensive language,17856,0.035784185,0.9642158,True
6,0,6,0,1,offensive language,21988,0.014796376,0.9852036,True
3,0,3,0,1,offensive language,21241,0.004614413,0.9953856,True
3,0,3,0,1,offensive language,12551,0.013800383,0.9861996,True
3,0,3,0,1,offensive language,17753,0.0026515722,0.9973484,True
3,0,3,0,1,offensive language,16838,0.010213375,0.9897866,True
3,1,2,0,1,offensive language,23498,0.008068502,0.9919315,True
3,0,3,0,1,offensive language,22719,0.29461485,0.70538515,True
3,1,2,0,1,offensive language,15383,0.08271682,0.9172832,True
3,1,2,0,1,offensive language,21923,0.0025187135,0.9974813,True
