count,hate_speech_count,offensive_language_count,neither_count,class,label_name,dataset_index,P_non_tox_source,P_tox_source,toxic_bert_positive
3,2,0,1,0,hate speech,13394,0.15500218,0.8449978,True
3,0,3,0,1,offensive language,21632,0.12230307,0.87769693,True
3,0,3,0,1,offensive language,17724,0.0048277974,0.9951722,True
3,1,2,0,1,offensive language,4185,0.0011284947,0.9988715,True
3,0,3,0,1,offensive language,8522,0.12623411,0.8737659,True
3,0,3,0,1,offensive language,7973,0.03218782,0.9678122,True
3,1,2,0,1,offensive language,15119,0.005362332,0.99463767,True
3,0,3,0,1,offensive language,13506,0.32941723,0.6705828,True
3,0,3,0,1,offensive language,6494,0.07959068,0.9204093,True
3,0,2,1,1,offensive language,17946,0.01973188,0.9802681,True
3,0,3,0,1,offensive language,8006,0.12258452,0.8774155,True
3,0,3,0,1,offensive language,1901,0.3624524,0.6375476,True
3,0,3,0,1,offensive language,22117,0.019334793,0.9806652,True
3,0,3,0,1,offensive language,6020,0.0036105514,0.99638945,True
3,0,3,0,1,offensive language,19530,0.011758983,0.988241,True
3,1,2,0,1,offensive language,3645,0.0223037,0.9776963,True
3,1,2,0,1,offensive language,21888,0.012925386,0.9870746,True
3,0,3,0,1,offensive language,16609,0.01865679,0.9813432,True
3,0,3,0,1,offensive language,11776,0.020838916,0.9791611,True
3,1,2,0,1,offensive language,12054,0.009204209,0.9907958,True
3,0,3,0,1,offensive language,3336,0.0016572475,0.99834275,True
3,0,3,0,1,offensive language,20629,0.010670006,0.98933,True
3,2,1,0,0,hate speech,3161,0.09842509,0.9015749,True
3,0,3,0,1,offensive language,6386,0.0053468943,0.9946531,True
3,0,3,0,1,offensive language,22954,0.0064201355,0.99357986,True
3,0,3,0,1,offensive language,7202,0.014613152,0.98538685,True
3,0,3,0,1,offensive language,1572,0.064425826,0.9355742,True
3,0,3,0,1,offensive language,16011,0.0019177198,0.9980823,True
3,1,2,0,1,offensive language,12311,0.003067851,0.99693215,True
3,1,2,0,1,offensive language,859,0.0068205595,0.99317944,True
